TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2745559.0,312.541028,1.0,2.96,4.21,-8.54,-1.75,-27.87,33.06,0.12,0.19,-0.5,0.03500454886262466,-0.08436949684119588,-0.1637540273983742,-130.16081866157813,-38.01597932549169,-24.93666734562011,-0.1577,-0.9069,-0.3257,-0.2159,0
2745559.0,312.541028,1.0,2.96,4.21,-8.54,-1.75,-27.87,33.06,0.12,0.19,-0.5,0.03500454886262466,-0.08436949684119588,-0.1637540273983742,-130.16081866157813,-38.01597932549169,-24.93666734562011,-0.1577,-0.9069,-0.3257,-0.2159,0
2745593.0,312.557501,1.0,2.96,4.17,-8.67,-1.75,-28.19,31.87,-1.12,0.31,-0.69,-0.05241232060034162,-0.13975743142630392,-0.2579970782144372,-130.10645331555745,-38.04022025359053,-24.93666734562011,-0.158,-0.9067,-0.3259,-0.2159,0
2745593.0,312.557501,1.0,2.96,4.17,-8.67,-1.75,-28.19,31.87,-1.12,0.31,-0.69,-0.05241232060034162,-0.13975743142630392,-0.2579970782144372,-130.10645331555745,-38.04022025359053,-24.93666734562011,-0.158,-0.9067,-0.3259,-0.2159,0
2745628.0,312.601866,1.0,3.01,4.11,-8.56,-1.0,-27.87,32.19,-1.19,-1.0,-1.25,0.002519841702551706,-0.20433331540448307,-0.15246851252979,-130.10645331555745,-38.05234138049009,-24.94840342099723,-0.1582,-0.9067,-0.326,-0.216,0
2745628.0,312.601866,1.0,3.01,4.11,-8.56,-1.0,-27.87,32.19,-1.19,-1.0,-1.25,0.002519841702551706,-0.20433331540448307,-0.15246851252979,-130.10645331555745,-38.05234138049009,-24.94840342099723,-0.1582,-0.9067,-0.326,-0.216,0
2745665.0,312.608807,1.0,2.78,4.23,-8.36,-2.5,-28.56,32.69,-4.0,-1.0,0.44,0.0028856029885081513,0.051476511471206354,0.03381817692731559,-130.0792914251156,-38.04022025359053,-24.924931536010142,-0.1589,-0.9066,-0.3259,-0.2158,0
2745665.0,312.608807,1.0,2.78,4.23,-8.36,-2.5,-28.56,32.69,-4.0,-1.0,0.44,0.0028856029885081513,0.051476511471206354,0.03381817692731559,-130.0792914251156,-38.04022025359053,-24.924931536010142,-0.1589,-0.9066,-0.3259,-0.2158,0
2745700.0,312.61837,1.0,2.95,4.21,-8.55,-2.5,-28.56,32.69,1.88,0.44,0.94,0.01483772746750911,-0.09932781572687821,-0.16927170312430384,-130.10645331555745,-38.0038595239246,-24.93666734562011,-0.1588,-0.9067,-0.3256,-0.2159,0
2745700.0,312.61837,1.0,2.95,4.21,-8.55,-2.5,-28.56,32.69,1.88,0.44,0.94,0.01483772746750911,-0.09932781572687821,-0.16927170312430384,-130.10645331555745,-38.0038595239246,-24.93666734562011,-0.1588,-0.9067,-0.3256,-0.2159,0
